Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
745000,1.9171681,0.00026818516,-0.18567371,-2.3037747846901766,998.125,-2.5458399653434753
750000,1.890314,0.00026797224,-0.26465493,-1.8885998566402122,998.5,-1.8915500938892365
755000,1.8938998,0.00026775722,-0.2346446,-2.2643747961192275,998.0,-2.1927199721336366
760000,1.8845003,0.0002675414,-0.17254454,-2.155099852650892,998.25,-2.1551001220941544
765000,1.8654176,0.00026732782,-0.22586031,-2.1126873013236036,998.125,-2.2747199296951295
770000,1.8709135,0.00026711493,-0.16332658,-1.7060498241553432,998.5,-1.7763666609923046
775000,1.9595734,0.00026689988,-0.18217596,-1.4541499003680656,998.0,-1.5021000385284424
780000,1.9586323,0.00026668416,-0.16906701,-1.2520249145673006,998.25,-1.2520250529050827
785000,1.9045012,0.0002664705,-0.19637682,-2.1237748444073077,998.125,-2.26324006319046
790000,1.9194335,0.0002662576,-0.18327546,-2.4287247888933052,998.5,-2.138716767231623
795000,1.8431123,0.0002660426,-0.22353768,-2.6248748187717865,998.0,-2.611220145225525
800000,1.817001,0.0002658268,-0.19823284,-2.030699861490575,998.25,-2.0307001173496246
805000,1.8994778,0.00026561267,-0.24445122,-3.2159776333945853,903.6666666666666,-3.711433470249176
810000,1.8679823,0.0002654003,-0.19762869,-1.818699876384926,998.25,-2.026250123977661
815000,1.9086384,0.00026518526,-0.18541005,-2.1216747844882775,998.0,-2.0558399975299837
820000,1.963405,0.00026496948,-0.12372242,-1.954974851294537,998.25,-1.954975113272667
825000,1.889283,0.00026475586,-0.22475573,-1.9504123250335397,998.25,-2.1561601042747496
830000,1.8161423,0.00026454296,-0.2449486,-1.8976498678675853,998.25,-1.7374666929244995
835000,1.8919437,0.00026432797,-0.20968023,-2.236324845958734,998.0,-2.1867201209068297
840000,1.9020896,0.0002641122,-0.22026023,-2.484274814305536,998.25,-2.484275132417679
845000,1.911176,0.00026389855,-0.17219222,-1.6713123857225582,998.25,-1.646760058403015
850000,1.9030102,0.00026368562,-0.17246266,-2.279924843380286,998.25,-1.9897001485029857
855000,1.8898484,0.00026347063,-0.17278257,-1.6592998574851663,998.0,-1.7910800874233246
860000,1.8223841,0.0002632549,-0.21811064,-1.907249834148388,998.25,-1.9072499573230743
865000,1.8898618,0.00026304123,-0.21123907,-2.008274834635813,998.25,-2.4332000613212585
870000,1.8950151,0.0002628283,-0.19028753,-1.1826748904422857,998.25,-1.2412167092164357
875000,1.8221009,0.00026261335,-0.17077677,-2.6280997468929854,998.0,-2.339200019836426
880000,1.8216983,0.00026239755,-0.15346423,-2.5255247344248346,998.25,-2.5255248844623566
885000,1.7809937,0.00026218395,-0.17835146,-2.349562275427161,998.25,-2.2036400735378265
890000,1.9297502,0.00026197103,-0.12322531,-1.5485248941040481,998.25,-2.070600042740504
895000,1.8797667,0.00026175598,-0.122975826,-1.1181499234735384,998.0,-1.2042800843715669
900000,1.831937,0.00026154023,-0.13160212,-1.3146999104210408,998.25,-1.314700037240982
905000,1.8919439,0.00026132664,-0.113927126,-2.0014998395308794,998.25,-2.1114400923252106
910000,1.9016697,0.0002611137,-0.13947116,-2.2325747262875666,998.25,-2.0209332207838693
915000,1.9051908,0.0002608987,-0.09961637,-3.1010246228979668,998.0,-2.932719850540161
920000,1.8341732,0.00026068295,-0.10473899,-2.0162498622594285,998.25,-2.016250178217888
925000,1.8642989,0.00026046933,-0.13397975,-1.8102123154021683,998.25,-2.1516597986221315
930000,1.8345429,0.0002602564,-0.15109211,-3.331299506833602,998.25,-2.2674331267674765
935000,1.880155,0.00026004136,-0.15133402,-2.9963745751229,998.0,-3.085899591445923
940000,1.9303263,0.00025982564,-0.1364155,-2.4617498315419652,998.25,-2.4617502093315125
945000,1.9117336,0.00025961202,-0.17109306,-1.8009123679657932,998.25,-1.8625800967216493
950000,1.9163837,0.00025939912,-0.1775784,-1.5017998972107307,998.25,-1.607133388519287
955000,1.9168627,0.00025918405,-0.13888104,-1.3449499086273136,998.0,-1.3677200973033905
960000,1.9059086,0.00025896827,-0.113162816,-1.3791499059298076,998.25,-1.3791500478982925
965000,1.9207125,0.00025875468,-0.13080958,-1.4079499041363306,998.25,-1.470260065793991
970000,1.8946794,0.00025854175,-0.14841646,-3.1377746622019913,998.25,-2.2234166860580444
975000,1.9684873,0.00025832673,-0.1915476,-0.8447749426632072,998.0,-1.300400048494339
980000,1.9543401,0.00025811096,-0.14689597,-1.1263498979678843,998.25,-1.1263499855995178
985000,1.8611941,0.00025789737,-0.158444,-2.382774761888868,998.25,-1.9584600567817687
990000,1.8415413,0.00025768444,-0.15202953,-1.0808999261571444,998.25,-2.0832834243774414
995000,1.9581152,0.00025746945,-0.16055831,-0.9651499343744945,998.0,-0.9908800423145294
1000000,1.8834685,0.0002572537,-0.13627401,-1.5649998933149618,998.25,-1.5650000497698784
1005000,1.925286,0.00025704008,-0.123009264,-1.158049907135137,998.25,-1.0728600472211838
1010000,1.9489266,0.0002568271,-0.15380436,-1.333599888275785,998.25,-1.3010166734457016
1015000,1.9117646,0.00025661214,-0.14521308,-1.176374912916799,998.0,-1.2267800390720367
1020000,1.881913,0.0002563964,-0.13349201,-2.1121248555355123,998.25,-2.1121250838041306
1025000,1.9082117,0.00025618277,-0.13914989,-1.2589749127218965,998.25,-1.4583200573921205
1030000,1.8986455,0.00025596982,-0.15112522,-2.295124811005735,998.25,-1.6115999668836594
1035000,1.8849343,0.0002557548,-0.13759086,-1.7652748778054956,998.0,-1.8704400539398194
1040000,1.8899593,0.00025553905,-0.06457043,-1.9943498638021993,998.25,-1.9943501651287079
1045000,1.9196761,0.00025532543,-0.10754015,-1.655549879931641,998.25,-1.8941601276397706
1050000,1.8381507,0.00025511254,-0.1645145,-2.4502747777296463,998.25,-1.8392666975657146
1055000,1.9048536,0.0002548975,-0.17532107,-2.3309998215190717,998.0,-2.3726200699806212
1060000,1.9151659,0.00025468174,-0.13784464,-1.4295249023198267,998.25,-1.429525077342987
1065000,1.8754814,0.00025446812,-0.15138273,-1.5934498907918169,998.25,-1.8176200926303863
