Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5400000,-0.08523731,1.5831246,6.865774e-05,0.00020024429,0.03629261,None,None,None
5405000,-0.07905805,1.5374444,6.844111e-05,0.00020581656,0.034921747,-1.7888873546871764,1996.0,-1.7888875901699066
5410000,-0.096228935,1.5117586,6.822928e-05,0.00015833069,0.033628084,-1.9125998597373837,1996.25,-1.9125501438975334
5415000,-0.088891596,1.681232,6.805968e-05,0.00013796445,0.036836665,None,None,-1.9126500561833382
5420000,-0.0796867,1.624469,6.784304e-05,0.00022221214,0.038437996,-1.7661373486371303,1996.25,-1.7661375254392624
5425000,-0.090483725,1.5876921,6.7628986e-05,None,None,None,None,None
5430000,-0.0818669,1.568768,6.7412366e-05,0.000238973,0.036570564,-2.599787253442628,1996.25,-2.5997874960303307
5435000,-0.08807917,1.6108004,6.715727e-05,0.00024291726,0.0414848,-2.111962240374851,1996.25,-2.1119623631238937
5440000,-0.09038592,1.6122867,6.694329e-05,0.0002890606,0.036572453,None,None,None
5445000,-0.08903012,1.6318079,6.6726665e-05,0.00034395742,0.031680338,-2.1735871852506534,1996.0,-2.173587456345558
5450000,-0.08990431,1.5988319,6.651483e-05,0.00026625,0.039080754,-1.7643998609528353,1996.25,-1.764450028538704
5455000,-0.08123228,1.6296903,6.634522e-05,0.00017724487,0.031414714,None,None,-1.7643500417470932
5460000,-0.07106472,1.5652132,6.612858e-05,0.00018476392,0.030541515,-1.3664749068557285,1996.25,-1.3664750419557095
5465000,-0.08155297,1.4774816,6.591453e-05,None,None,None,None,None
5470000,-0.08873126,1.5932965,6.569792e-05,0.00019881145,0.033308934,-1.992387353482627,1996.25,-1.9923876598477364
5475000,-0.090389505,1.6656483,6.544282e-05,0.00018726687,0.03518867,-2.312274763127789,1996.25,-2.312274880707264
5480000,-0.0814584,1.5414028,6.522883e-05,0.0004325798,0.043931063,None,None,None
5485000,-0.08552932,1.5447075,6.50122e-05,0.00031281958,0.033823807,-1.5338498802339018,1996.0,-1.53385004773736
5490000,-0.08648775,1.5655384,6.480038e-05,0.00025240463,0.03283051,-2.565674677840434,1996.25,-2.565749704837799
5495000,-0.092400774,1.6326145,6.463076e-05,0.00022808208,0.037862323,None,None,-2.5655996948480606
5500000,-0.09864542,1.5569541,6.4414126e-05,0.0003608341,0.0316475,-2.676374714646954,1996.25,-2.6763748973608017
5505000,-0.105120495,1.4530373,6.420008e-05,None,None,None,None,None
5510000,-0.088139154,1.6336505,6.3983476e-05,0.00015167594,0.0354097,-2.348612307509029,1996.25,-2.348612606525421
5515000,-0.08483178,1.567348,6.372839e-05,0.00017385508,0.038625907,-1.6039998867454415,1996.25,-1.604000136256218
5520000,-0.0856584,1.560861,6.351437e-05,0.00018382346,0.037704594,None,None,None
5525000,-0.087361656,1.5151775,6.3297746e-05,0.00023487826,0.0382862,-2.1010248561942717,1996.0,-2.1010251566767693
5530000,-0.09787622,1.5666895,6.308592e-05,0.00038429996,0.03139974,-2.3906623144030164,1996.25,-2.3901501893997192
5535000,-0.09818105,1.4970791,6.291631e-05,0.00022172037,0.037832282,None,None,-2.3908334573109946
5540000,-0.104051,1.5268422,6.269966e-05,0.00020140033,0.030462313,-2.574012190762005,1996.25,-2.5740123093128204
5545000,-0.10149309,1.4562265,6.2485626e-05,None,None,None,None,None
5550000,-0.106222704,1.5581166,6.226902e-05,0.00017243015,0.033585496,-2.3780122852949717,1996.25,-2.3780125081539154
5555000,-0.11254351,1.646761,6.201394e-05,0.00017105471,0.03333515,-1.7564373612985946,1996.25,-1.7564375661313534
5560000,-0.113232054,1.5707574,6.17999e-05,0.00014196862,0.03422543,None,None,None
5565000,-0.10537863,1.5419399,6.1583276e-05,0.00015714255,0.043733362,-1.8378248677436204,1996.0,-1.8378250896930695
5570000,-0.102290854,1.5196624,6.137145e-05,0.000310943,0.03715056,-2.9825996707477316,1996.25,-2.9823997616767883
5575000,-0.10414769,1.5606567,6.120184e-05,0.00020747581,0.03572936,None,None,-2.982666532198588
5580000,-0.09759827,1.5917016,6.0985207e-05,0.00019869916,0.036348086,-2.0832123345280706,1996.25,-2.0832126140594482
5585000,-0.10465718,1.5458436,6.077115e-05,None,None,None,None,None
5590000,-0.0924389,1.59978,6.0554547e-05,0.000119474906,0.038601056,-1.3237874062397168,1996.25,-1.3237876035273075
5595000,-0.10321328,1.6688462,6.029947e-05,0.00015707509,0.03700904,-2.310299782002403,1996.25,-2.3102999851107597
5600000,-0.09769742,1.4372021,6.0085462e-05,0.00032362912,0.03369118,None,None,None
5605000,-0.10708981,1.557794,5.9868828e-05,0.00024054905,0.032123204,-2.431849748503737,1996.0,-2.4318499490618706
5610000,-0.11777011,1.5039685,5.9656988e-05,0.0002060589,0.033580523,-2.5058247732085874,1996.25,-2.505550056695938
5615000,-0.11154841,1.4527704,5.9487385e-05,0.00018979391,0.042344913,None,None,-2.505916714668274
5620000,-0.10965812,1.5410775,5.9270744e-05,0.00019630752,0.03583557,-2.8934746753802756,1996.25,-2.893474854528904
5625000,-0.12139947,1.519919,5.9056696e-05,None,None,None,None,None
5630000,-0.10873224,1.5170708,5.884009e-05,0.0002409427,0.03512749,-2.0009622970683267,1996.25,-2.000962473452091
5635000,-0.10538595,1.4827105,5.8585007e-05,0.00023862236,0.034297634,-1.7319372923811898,1996.25,-1.73193733766675
5640000,-0.117438555,1.5900333,5.837099e-05,0.00022364255,0.03270498,None,None,None
5645000,-0.12167614,1.5764024,5.8154375e-05,0.00047586404,0.0325916,-2.94843712891452,1996.0,-2.9484372287988663
5650000,-0.10433035,1.5637262,5.7942532e-05,0.0002059151,0.03440408,-2.217999845448503,1996.25,-2.2177501022815704
5655000,-0.1048309,1.5921744,5.7772933e-05,0.00028285,0.033098772,None,None,-2.2180835207303367
5660000,-0.10543134,1.5197086,5.7556284e-05,0.00023217578,0.034919742,-2.152074780598923,1996.25,-2.152074933052063
5665000,-0.12673222,1.5864806,5.7342244e-05,None,None,None,None,None
5670000,-0.1315484,1.5820765,5.712564e-05,0.00031513136,0.032406032,-2.7994122560266987,1996.25,-2.799412578344345
5675000,-0.12320295,1.4833404,5.6870562e-05,0.00023672884,0.03763825,-2.3159247353396495,1996.25,-2.3159250244498253
5680000,-0.115134746,1.4747103,5.6656536e-05,0.00018445704,0.041015342,None,None,None
5685000,-0.10885813,1.5453243,5.643992e-05,0.00015348148,0.041643236,-1.2107124174654018,1996.0,-1.2107125595211983
5690000,-0.10139652,1.5128201,5.622808e-05,0.00021206099,0.03434328,-1.9610873330275354,1996.25,-1.960850089788437
5695000,-0.099624276,1.5339234,5.6058474e-05,0.0003585406,0.03243891,None,None,-1.9611667195955913
