Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1320000,-0.11655283,1.9834987,0.0002434694,-1.5215001073956955,1596.0,-1.6915500685572624
1322000,-0.12915185,2.0017,0.00024338023,-4.453766612656182,798.3333333333334,-5.966449737548828
1324000,-0.11024587,1.9321002,0.00024329677,-1.6845001190376934,1596.0,-1.556450143456459
1326000,-0.09501878,1.9564639,0.0002432118,-1.463599850932951,998.0,None
1328000,-0.11375644,1.9856523,0.00024312644,-1.377500103553757,1596.0,-1.4349000006914139
1330000,-0.113905214,1.9780364,0.00024303941,-1.6540999648471673,1197.3333333333333,-1.6414999961853027
1332000,-0.11066453,1.9811684,0.0002429556,None,None,-1.660400152206421
1334000,-0.12833573,1.9794295,0.00024286934,-1.8229665986436885,1198.0,-1.8105001673102379
1336000,-0.100375876,2.0145142,0.0002427835,-1.4380001068057027,1596.0,-1.6987999429305394
1338000,-0.114980206,1.9901016,0.00024269726,-0.8229999437317019,998.0,-0.822399914264679
1340000,-0.13776676,1.8860866,0.00024261264,None,None,-0.8236000537872314
1342000,-0.10530422,2.024104,0.00024252344,-1.1864874935199623,1297.5,-1.0753750391304493
1344000,-0.09841854,1.9629903,0.00024244115,None,None,-1.2976000010967255
1346000,-0.111031696,1.9800631,0.00024235394,-2.1563998088095104,998.0,-2.15719997882843
1348000,-0.0964378,2.005194,0.00024226804,-1.8755001378594898,1596.0,-2.015550099313259
1350000,-0.106813215,1.9197243,0.00024218009,-2.1320832602699133,1197.3333333333333,-2.141324996948242
1352000,-0.08734454,2.025473,0.00024209826,None,None,-2.1135998964309692
1354000,-0.117749,2.0132532,0.00024201006,-1.6323666493602407,1197.6666666666667,-1.725350208580494
1356000,-0.122968,2.036513,0.00024192511,-1.4907501050329302,1596.0,-1.4685750994831324
1358000,-0.12033324,2.0125616,0.00024184014,-1.536199894748279,998.0,None
1360000,-0.10598509,2.0136144,0.00024175475,-1.1202500788203906,1596.0,-1.3975500762462616
1362000,-0.11133845,2.049913,0.00024166775,-1.0746166489940758,1197.6666666666667,-1.2022500187158585
